Lipids,Regions,p_value,FoldChange,r
SPH,rh_caudalanteriorcingulate_volume,0.05564934293420023,0.02146145381692729,0.0956485650321525
S1P,rh_caudalanteriorcingulate_volume,0.7846603338558956,0.1635099510599122,0.013687589284957828
DHCER,rh_caudalanteriorcingulate_volume,0.4417785333942859,0.10957247184600223,0.038517667226895036
CER,rh_caudalanteriorcingulate_volume,0.9170140896396146,3.556804188580753,-0.0052195405588197855
CER1P,rh_caudalanteriorcingulate_volume,0.015155928527533214,0.002691156796483895,-0.1212109693395704
HEXCER,rh_caudalanteriorcingulate_volume,0.5675416172079495,0.6523922091695866,0.02863165396583884
HEX2CER,rh_caudalanteriorcingulate_volume,0.2203430540553957,0.39473975678508477,-0.06133819848459364
HEX3CER,rh_caudalanteriorcingulate_volume,0.0012809472836087033,0.3906491013610126,-0.16026943344044933
GM3,rh_caudalanteriorcingulate_volume,0.7917972256244737,-0.1010129788637013,-0.013223111313808605
GM1,rh_caudalanteriorcingulate_volume,0.016765513793460463,0.011634729718358288,-0.11938650910528802
SULFATIDE,rh_caudalanteriorcingulate_volume,0.747218453909873,0.727430546611764,0.01614470365567617
SM,rh_caudalanteriorcingulate_volume,0.18423786805266051,-1.7257110321388405,-0.06644224443760914
PA,rh_caudalanteriorcingulate_volume,0.48581479979345105,0.036295102768620024,0.03490391338486884
PC,rh_caudalanteriorcingulate_volume,0.20737744355445403,39.53429933097287,0.06309604396422056
LPC,rh_caudalanteriorcingulate_volume,0.1006592020283697,19.121717061852834,0.08209874058112442
PE,rh_caudalanteriorcingulate_volume,0.08309378767507374,22.061084627760216,0.08665007678767407
LPE,rh_caudalanteriorcingulate_volume,0.06960187752248766,1.168919877411055,0.09070773813108352
PI,rh_caudalanteriorcingulate_volume,0.37674337901954535,-2.338108907749505,-0.04425701571775573
PIP1,rh_caudalanteriorcingulate_volume,0.4998526330883927,0.00947550363459849,-0.03378984941408939
LPI,rh_caudalanteriorcingulate_volume,0.7642925225147567,0.12111178636773413,0.015019774709848282
PS,rh_caudalanteriorcingulate_volume,0.4656389616977704,1.3398336048845392,0.03653602706868124
