Lipids,Regions,p_value,FoldChange,r
SPH,rh_caudalanteriorcingulate_volume,0.9956677581436374,0.030969599981229157,0.00019119324088463454
S1P,rh_caudalanteriorcingulate_volume,0.03521042390294785,-0.19694808282988002,-0.07405338110162864
DHCER,rh_caudalanteriorcingulate_volume,0.47564292691809906,-0.07757288288808778,0.025114146837815883
CER,rh_caudalanteriorcingulate_volume,0.4528751545572976,-2.400086317791635,-0.026427010202520605
CER1P,rh_caudalanteriorcingulate_volume,0.005228783723666498,0.0015627923692429916,-0.09809703953594681
HEXCER,rh_caudalanteriorcingulate_volume,0.013103087686024195,-0.5473458885641904,-0.08719438010433217
HEX2CER,rh_caudalanteriorcingulate_volume,0.02739251809870843,-0.4117193783227903,-0.07755763022728927
HEX3CER,rh_caudalanteriorcingulate_volume,0.08204100908564259,-0.12180271652447933,-0.06117605552965139
GM3,rh_caudalanteriorcingulate_volume,1.8024452895206573e-06,-0.053974899108794924,-0.16693780404333142
GM1,rh_caudalanteriorcingulate_volume,3.3017973259863805e-08,-0.030109135141154018,-0.19271017415630218
SULFATIDE,rh_caudalanteriorcingulate_volume,6.687273301199799e-05,0.20473679476879816,-0.13970859112686523
SM,rh_caudalanteriorcingulate_volume,0.12190375828164157,-43.41357531290268,-0.05442755925182626
PA,rh_caudalanteriorcingulate_volume,0.016257847374165024,-0.02702462414593676,-0.0844671975019426
PC,rh_caudalanteriorcingulate_volume,0.10479478907739567,-51.87325220547987,-0.057069647475186884
LPC,rh_caudalanteriorcingulate_volume,0.01759639368777684,-25.526242606591563,-0.08344892202956723
PE,rh_caudalanteriorcingulate_volume,0.5755996198585074,17.624513589557242,0.019710922275972428
LPE,rh_caudalanteriorcingulate_volume,0.3289392881524289,-2.0511386231325286,-0.03436621346032635
PI,rh_caudalanteriorcingulate_volume,0.03085106083446034,3.158828888275353,0.07591381633427338
PIP1,rh_caudalanteriorcingulate_volume,0.1538333063829228,-0.0010573050143707439,0.05018575878965534
LPI,rh_caudalanteriorcingulate_volume,0.6866007279448001,-0.026586350468518347,-0.014206585090493846
PS,rh_caudalanteriorcingulate_volume,0.7218461044531096,0.02359711620952285,0.012534923404698447
PG,rh_caudalanteriorcingulate_volume,0.0008323875394879223,0.09008031742176645,0.11726695190479507
CE,rh_caudalanteriorcingulate_volume,6.348183212630215e-05,-114.59298720684369,-0.14013648549698388
COH,rh_caudalanteriorcingulate_volume,0.49852669496580576,-20.43045556003196,-0.023828828101716083
DE,rh_caudalanteriorcingulate_volume,0.046691101907475836,-4.760455548947153,-0.0699552103832913
DEDE,rh_caudalanteriorcingulate_volume,0.0027614909792611666,-0.025709078099179647,-0.10510311037364996
METHYL,rh_caudalanteriorcingulate_volume,0.2632518095016113,-3.1464303784950185,-0.039378374427532066
DIMETHYL,rh_caudalanteriorcingulate_volume,0.43437865963335764,-0.9966000811292286,-0.027521188493141596
FA,rh_caudalanteriorcingulate_volume,0.717483733932507,-134.88859225782656,0.012740228914910627
AC,rh_caudalanteriorcingulate_volume,0.0589361248691899,0.10177662059851098,-0.06643143922194812
CA,rh_caudalanteriorcingulate_volume,0.7991705835216715,0.008720472060512508,0.00895862690556398
