Lipids,Regions,p_value,FoldChange,r
SPH,rh_caudalanteriorcingulate_volume,0.5119179994343402,-0.12516551183360253,0.016703411041150692
S1P,rh_caudalanteriorcingulate_volume,0.8361165193956883,0.41838944348393403,0.005268766182151737
DHCER,rh_caudalanteriorcingulate_volume,0.2792286059163957,-0.7329763616930958,0.027554632806439907
CER,rh_caudalanteriorcingulate_volume,0.14408618904695972,-5.67971835274023,0.03719217146812307
CER1P,rh_caudalanteriorcingulate_volume,0.32832461996498885,0.01899725169743501,-0.024892874477064134
HEXCER,rh_caudalanteriorcingulate_volume,0.9859471159706688,6.1612740147173355,0.0004486173424156432
HEX2CER,rh_caudalanteriorcingulate_volume,0.06286961885458857,1.8331728535482879,-0.0473504109722877
HEX3CER,rh_caudalanteriorcingulate_volume,0.4809106154686491,2.4035944378516683,0.017950765747790507
GM3,rh_caudalanteriorcingulate_volume,0.30964362851613914,1.549202791490561,-0.025872383890046157
GM1,rh_caudalanteriorcingulate_volume,0.05372864055637955,0.07318272413934568,-0.04910236696696708
SULFATIDE,rh_caudalanteriorcingulate_volume,0.7153570312798622,-0.9995300716188583,0.00928795385023851
SM,rh_caudalanteriorcingulate_volume,0.013843897885352415,402.00939835130083,0.06262737184021888
PA,rh_caudalanteriorcingulate_volume,0.036288690234673356,0.008535375270633538,0.053287995866531844
PC,rh_caudalanteriorcingulate_volume,0.5876714864412508,119.9271738058442,0.013809494588900512
LPC,rh_caudalanteriorcingulate_volume,0.7489318235984886,245.50335583783752,0.008151477648956823
PE,rh_caudalanteriorcingulate_volume,0.2700802205345929,28.587071475576362,0.028084711224640506
LPE,rh_caudalanteriorcingulate_volume,0.9981072795512013,11.568598635072963,-6.041921013840024e-05
PI,rh_caudalanteriorcingulate_volume,0.1860684513769904,91.91160357406964,0.0336693629314396
PIP1,rh_caudalanteriorcingulate_volume,0.07912811185879005,-0.003123872886912305,0.044696975066300965
LPI,rh_caudalanteriorcingulate_volume,0.02144243529059208,-5.487401507849707,-0.05853327188298346
