Regions1,Regions2,p_value,FoldChange,r
rh_caudalanteriorcingulate_volume,rh_caudalanteriorcingulate_volume,0.0,1.0,1.0
rh_caudalmiddlefrontal_volume,rh_caudalanteriorcingulate_volume,5.22454192251928e-11,1.4397029858152206,0.32014241517857817
rh_cuneus_volume,rh_caudalanteriorcingulate_volume,0.050997446601198364,1.2041851482883252,0.09752534702814433
rh_entorhinal_volume,rh_caudalanteriorcingulate_volume,0.01917477308150512,1.4146491427872758,0.11692324147635379
rh_fusiform_volume,rh_caudalanteriorcingulate_volume,5.2375437207612484e-06,0.7236882550794433,0.22524143611510417
rh_inferiorparietal_volume,rh_caudalanteriorcingulate_volume,2.414413215451833e-06,7.06391342211238,0.23294726019878895
rh_inferiortemporal_volume,rh_caudalanteriorcingulate_volume,5.968022836455973e-09,8.580182618525875,0.28534843266330584
rh_isthmuscingulate_volume,rh_caudalanteriorcingulate_volume,1.85311551880065e-12,0.4528454625580017,0.3422065665148835
rh_lateraloccipital_volume,rh_caudalanteriorcingulate_volume,1.6984318567989742e-05,1.4100765892791727,0.21298912783073753
rh_lateralorbitofrontal_volume,rh_caudalanteriorcingulate_volume,2.663368780956606e-09,4.155283644504144,0.291610844787359
rh_lingual_volume,rh_caudalanteriorcingulate_volume,0.22455555569172456,3.9167933316226042,0.06078306015446923
rh_medialorbitofrontal_volume,rh_caudalanteriorcingulate_volume,9.514315472272914e-06,1.7103177271592054,0.21911141648164476
rh_middletemporal_volume,rh_caudalanteriorcingulate_volume,5.717049513715e-09,7.4828732818369135,0.28568580460730086
rh_parahippocampal_volume,rh_caudalanteriorcingulate_volume,0.1243236627920771,0.6633240370378641,0.0768742973162928
rh_paracentral_volume,rh_caudalanteriorcingulate_volume,0.2625725852606387,0.11845209642587072,-0.056077701544050444
rh_parsopercularis_volume,rh_caudalanteriorcingulate_volume,0.0001308511984358624,0.7329324412652861,0.18985659127931984
rh_parsorbitalis_volume,rh_caudalanteriorcingulate_volume,0.0015345438702892265,1.2762128466677816,0.15770705082745443
rh_parstriangularis_volume,rh_caudalanteriorcingulate_volume,1.2387928923912307e-05,2.1676930318545526,0.21634480243945606
rh_pericalcarine_volume,rh_caudalanteriorcingulate_volume,0.6074739722020663,1.6414622459380404,0.025728149655315915
rh_postcentral_volume,rh_caudalanteriorcingulate_volume,0.017243575149599486,1.744550850240064,0.11887418521286242
rh_posteriorcingulate_volume,rh_caudalanteriorcingulate_volume,3.085528254560612e-33,0.8228724274537284,0.5511337761846702
rh_precentral_volume,rh_caudalanteriorcingulate_volume,0.05762910697122723,2.6529809721524655,0.0948891956555746
rh_precuneus_volume,rh_caudalanteriorcingulate_volume,2.7240369052023723e-07,5.683739393287013,0.2533494353589167
rh_rostralanteriorcingulate_volume,rh_caudalanteriorcingulate_volume,3.9833099484384235e-29,-0.3153478273851288,0.5197383237160991
rh_rostralmiddlefrontal_volume,rh_caudalanteriorcingulate_volume,3.2285865464542085e-07,6.337361094070697,0.25182327642590946
rh_superiorfrontal_volume,rh_caudalanteriorcingulate_volume,8.370020115293853e-05,10.28065136408298,0.195149539005837
rh_superiorparietal_volume,rh_caudalanteriorcingulate_volume,0.007766942104408701,2.4077149694673254,0.13276127604092375
rh_superiortemporal_volume,rh_caudalanteriorcingulate_volume,1.7994281239211798e-09,2.315478221491132,0.2946001184105267
rh_supramarginal_volume,rh_caudalanteriorcingulate_volume,8.873457466175066e-05,2.2978586443116673,0.19446561618141586
rh_transversetemporal_volume,rh_caudalanteriorcingulate_volume,0.0008821281219584437,-0.2537314378145962,0.1654455662963654
rh_insula_volume,rh_caudalanteriorcingulate_volume,2.7399307525889405e-07,0.34330872301906484,0.25329734835593065
lh_caudalanteriorcingulate_volume,rh_caudalanteriorcingulate_volume,7.941553031244174e-15,1.040992145340235,0.3748737164357271
lh_caudalmiddlefrontal_volume,rh_caudalanteriorcingulate_volume,6.582920467917607e-05,2.3144386200245743,0.19793756684434777
lh_cuneus_volume,rh_caudalanteriorcingulate_volume,0.03868393137756616,0.3887848009579005,0.10329381327653342
lh_entorhinal_volume,rh_caudalanteriorcingulate_volume,0.13311602463290653,0.7938622968629809,0.07513114066124808
lh_fusiform_volume,rh_caudalanteriorcingulate_volume,0.00022128954582864742,0.4577811512794762,0.183443939790168
lh_inferiorparietal_volume,rh_caudalanteriorcingulate_volume,0.019976583900127597,2.1223519841291902,0.11616322840159769
lh_inferiortemporal_volume,rh_caudalanteriorcingulate_volume,0.015085387996656171,2.5084310850775653,0.12129474881090822
lh_isthmuscingulate_volume,rh_caudalanteriorcingulate_volume,7.804188425683032e-05,0.9001223960404003,0.1959660715549441
lh_lateraloccipital_volume,rh_caudalanteriorcingulate_volume,0.00010566428954818943,2.239953465400696,0.19240682509538207
lh_lateralorbitofrontal_volume,rh_caudalanteriorcingulate_volume,3.675811588084742e-07,4.170720026424198,0.2506514735493811
lh_lingual_volume,rh_caudalanteriorcingulate_volume,0.32731754481643904,1.9730702762677907,0.049039107059447445
lh_medialorbitofrontal_volume,rh_caudalanteriorcingulate_volume,0.09889544613093472,1.6880012416339685,0.08252566475968849
lh_middletemporal_volume,rh_caudalanteriorcingulate_volume,0.04458967206102179,6.880281487586695,0.10035988085844375
lh_parahippocampal_volume,rh_caudalanteriorcingulate_volume,0.9300372612634227,-0.5436792894086435,0.004398129145965782
lh_paracentral_volume,rh_caudalanteriorcingulate_volume,0.019487102246947493,0.38041292784057684,0.1166239633918537
lh_parsopercularis_volume,rh_caudalanteriorcingulate_volume,0.00011720042419115973,3.2142497854879326,0.19117493671935323
lh_parsorbitalis_volume,rh_caudalanteriorcingulate_volume,0.01908181259168974,1.0645062539628503,0.11701313713171942
lh_parstriangularis_volume,rh_caudalanteriorcingulate_volume,5.7742049880457583e-05,1.6703219283145119,0.19944301476463452
lh_pericalcarine_volume,rh_caudalanteriorcingulate_volume,0.3710921124530104,1.3130477989750293,0.04478306628484061
