Regions1,Regions2,p_value,FoldChange,r
rh_caudalanteriorcingulate_volume,rh_caudalanteriorcingulate_volume,0.0,1.0,1.0
rh_caudalmiddlefrontal_volume,rh_caudalanteriorcingulate_volume,8.656250044744158e-06,-0.8650209906480831,0.15567927627942862
rh_cuneus_volume,rh_caudalanteriorcingulate_volume,6.072997756839532e-10,-0.436432183635218,0.21535204042833853
rh_entorhinal_volume,rh_caudalanteriorcingulate_volume,0.00011425941551961689,-0.6134034775776305,0.13523006286938452
rh_fusiform_volume,rh_caudalanteriorcingulate_volume,1.2275159672293205e-06,-1.2922539483468587,0.1695825342821348
rh_inferiorparietal_volume,rh_caudalanteriorcingulate_volume,5.221743397603195e-06,-1.641116397695122,0.15939044778053688
rh_inferiortemporal_volume,rh_caudalanteriorcingulate_volume,2.6627859382856913e-10,-5.512521590039889,0.21972232097151137
rh_isthmuscingulate_volume,rh_caudalanteriorcingulate_volume,2.636540204096941e-08,-1.3154387718253517,0.1940574969335324
rh_lateraloccipital_volume,rh_caudalanteriorcingulate_volume,2.493310204113006e-10,-1.088336630754272,0.22006696450626936
rh_lateralorbitofrontal_volume,rh_caudalanteriorcingulate_volume,6.9068426972233e-12,1.7678486427336457,0.23806210486530846
rh_lingual_volume,rh_caudalanteriorcingulate_volume,2.077729274387006e-08,-0.4903539847651114,0.19547348676914578
rh_medialorbitofrontal_volume,rh_caudalanteriorcingulate_volume,5.2023839989866984e-11,0.5238439395810357,0.2281167978206015
rh_middletemporal_volume,rh_caudalanteriorcingulate_volume,8.552422831081106e-08,-1.6648769899791203,0.18690170226776034
rh_parahippocampal_volume,rh_caudalanteriorcingulate_volume,1.0054568801462049e-05,-0.8738991624292504,0.15456324586969059
rh_paracentral_volume,rh_caudalanteriorcingulate_volume,0.00028826974453627466,1.3982695607527622,0.12714888632174376
rh_parsopercularis_volume,rh_caudalanteriorcingulate_volume,0.00010174706770698248,4.046370603627607,0.1362114082418983
rh_parsorbitalis_volume,rh_caudalanteriorcingulate_volume,0.00834721114126178,-0.5109533113852058,0.09267998729234958
rh_parstriangularis_volume,rh_caudalanteriorcingulate_volume,0.027734945608077613,-0.8660180721658444,0.07738715872981937
