Regions1,Regions2,p_value,FoldChange,r
rh_caudalanteriorcingulate_volume,rh_caudalanteriorcingulate_volume,0.0,1.0,0.9999999999999996
rh_caudalmiddlefrontal_volume,rh_caudalanteriorcingulate_volume,2.7015756993230996e-22,-23.405512319809144,0.2436081930430327
rh_cuneus_volume,rh_caudalanteriorcingulate_volume,5.421460038512759e-10,7.476992069828131,0.1570941172438139
rh_entorhinal_volume,rh_caudalanteriorcingulate_volume,0.00026848811699012483,-4.603492793730023,0.09261167149083752
rh_fusiform_volume,rh_caudalanteriorcingulate_volume,2.1621635711247924e-15,-48.67348128070571,0.19997544556917407
rh_inferiorparietal_volume,rh_caudalanteriorcingulate_volume,1.9989008225115124e-13,-58.552157265707564,0.18554780954485947
rh_inferiortemporal_volume,rh_caudalanteriorcingulate_volume,2.842156680064931e-18,-60.80671840283571,0.2193274988500346
rh_isthmuscingulate_volume,rh_caudalanteriorcingulate_volume,5.483632402591782e-13,-8.565141866049183,0.18216901151814888
rh_lateraloccipital_volume,rh_caudalanteriorcingulate_volume,2.991042554674685e-17,17.537472308453943,0.21267671093281063
rh_lateralorbitofrontal_volume,rh_caudalanteriorcingulate_volume,5.3679824686288765e-28,16.949409882244733,0.27402315768482716
rh_lingual_volume,rh_caudalanteriorcingulate_volume,6.9939509376060785e-12,52.79844604917099,0.17334347371058786
rh_medialorbitofrontal_volume,rh_caudalanteriorcingulate_volume,1.6759709483935202e-21,7.2088042992147905,0.23903605821110402
rh_middletemporal_volume,rh_caudalanteriorcingulate_volume,3.0014213301094416e-19,-43.38584581551137,0.22548345237288986
rh_parahippocampal_volume,rh_caudalanteriorcingulate_volume,9.7965501947577e-16,2.0958516491797496,0.20238809234171573
rh_paracentral_volume,rh_caudalanteriorcingulate_volume,8.089755518604162e-19,0.6209442512010973,0.22279098929163701
rh_parsopercularis_volume,rh_caudalanteriorcingulate_volume,1.8371876706105584e-26,2.2446268533320146,0.26622349468538253
rh_parsorbitalis_volume,rh_caudalanteriorcingulate_volume,1.2143582590062227e-19,-0.768892210091342,0.22791060378787717
rh_parstriangularis_volume,rh_caudalanteriorcingulate_volume,6.10490943944186e-07,10.435854533401207,0.12652990261767552
rh_pericalcarine_volume,rh_caudalanteriorcingulate_volume,0.00010671714276054265,0.17208592104357928,0.0984508767275647
rh_postcentral_volume,rh_caudalanteriorcingulate_volume,1.4014899985757034e-14,26.436202157887347,0.19415428934066703
rh_posteriorcingulate_volume,rh_caudalanteriorcingulate_volume,1.0934690241001802e-75,-8.595648026564614,0.4442677631441662
rh_precentral_volume,rh_caudalanteriorcingulate_volume,1.976891648951725e-21,-21.450554777685802,0.23861762257948158
rh_precuneus_volume,rh_caudalanteriorcingulate_volume,2.2543737752195167e-18,-7.035119964704985,0.2199705389910903
rh_rostralanteriorcingulate_volume,rh_caudalanteriorcingulate_volume,2.675264651142837e-94,11.235699594189752,0.49058319632000325
rh_rostralmiddlefrontal_volume,rh_caudalanteriorcingulate_volume,5.728868255641405e-20,-11.332370592180732,0.22990466270840657
rh_superiorfrontal_volume,rh_caudalanteriorcingulate_volume,4.538800306021585e-14,-7.719956145583994,0.19039876487864218
rh_superiorparietal_volume,rh_caudalanteriorcingulate_volume,1.9352667222897462e-08,-15.658719518507812,0.14235310088744596
rh_superiortemporal_volume,rh_caudalanteriorcingulate_volume,2.7645767858851854e-26,-6.062813598765553,0.26530445232999145
rh_supramarginal_volume,rh_caudalanteriorcingulate_volume,3.84069101868129e-09,-41.62246030900026,0.14920074530512506
rh_transversetemporal_volume,rh_caudalanteriorcingulate_volume,1.2717628219336588e-06,0.9844632353844666,0.12291136820887183
rh_insula_volume,rh_caudalanteriorcingulate_volume,1.1239109596821831e-22,-16.7844884748508,0.24577183443867662
lh_caudalanteriorcingulate_volume,rh_caudalanteriorcingulate_volume,1.968917917168292e-60,-13.288593757708217,0.40009188388868855
lh_caudalmiddlefrontal_volume,rh_caudalanteriorcingulate_volume,4.5861053397030453e-23,-36.054840003364745,0.24796161078377504
lh_cuneus_volume,rh_caudalanteriorcingulate_volume,1.7325395056312917e-10,17.411713233467353,0.16151510926822502
lh_entorhinal_volume,rh_caudalanteriorcingulate_volume,3.5967891135848405e-06,1.3922677681965283,0.11760321105652999
lh_fusiform_volume,rh_caudalanteriorcingulate_volume,8.057571551542758e-14,-50.02559167016532,0.18853613763181343
lh_inferiorparietal_volume,rh_caudalanteriorcingulate_volume,9.314775293819486e-11,-76.94198973617083,0.1638696003150015
lh_inferiortemporal_volume,rh_caudalanteriorcingulate_volume,9.605391811169202e-23,-57.82555494671959,0.24615712145447852
lh_isthmuscingulate_volume,rh_caudalanteriorcingulate_volume,5.007230524721863e-14,-5.614819921615951,0.1900813605667098
lh_lateraloccipital_volume,rh_caudalanteriorcingulate_volume,1.4990850451514827e-13,-37.651367540557594,0.1864995866690151
lh_lateralorbitofrontal_volume,rh_caudalanteriorcingulate_volume,2.0093913841465362e-33,11.509541327475462,0.2997557626223151
lh_lingual_volume,rh_caudalanteriorcingulate_volume,1.3979502462742791e-08,-17.765198777722304,0.14375617977614177
lh_medialorbitofrontal_volume,rh_caudalanteriorcingulate_volume,2.5950516841287707e-20,6.655500046297569,0.23198637857798393
lh_middletemporal_volume,rh_caudalanteriorcingulate_volume,7.503842926590446e-16,-64.12783563927081,0.20319381593963196
lh_parahippocampal_volume,rh_caudalanteriorcingulate_volume,8.681446069395138e-13,-2.9504466250311188,0.18060918064640255
