Lipids,rh_caudalanteriorcingulate_volume,rh_caudalmiddlefrontal_volume,rh_cuneus_volume,rh_entorhinal_volume,rh_fusiform_volume,rh_inferiorparietal_volume,rh_inferiortemporal_volume,rh_isthmuscingulate_volume,rh_lateraloccipital_volume,rh_lateralorbitofrontal_volume,rh_lingual_volume,rh_medialorbitofrontal_volume,rh_middletemporal_volume,rh_parahippocampal_volume,rh_paracentral_volume,rh_parsopercularis_volume,rh_parsorbitalis_volume,rh_parstriangularis_volume,rh_pericalcarine_volume,rh_postcentral_volume,rh_posteriorcingulate_volume,rh_precentral_volume,rh_precuneus_volume,rh_rostralanteriorcingulate_volume,rh_rostralmiddlefrontal_volume,rh_superiorfrontal_volume,rh_superiorparietal_volume,rh_superiortemporal_volume,rh_supramarginal_volume,rh_transversetemporal_volume,rh_insula_volume,rh_temporalpole_volume,lh_caudalanteriorcingulate_volume,lh_caudalmiddlefrontal_volume,lh_cuneus_volume,lh_entorhinal_volume,lh_fusiform_volume,lh_inferiorparietal_volume,lh_inferiortemporal_volume,lh_isthmuscingulate_volume,lh_lateraloccipital_volume,lh_lateralorbitofrontal_volume,lh_lingual_volume,lh_medialorbitofrontal_volume,lh_middletemporal_volume,lh_parahippocampal_volume,lh_paracentral_volume,lh_parsopercularis_volume,lh_parsorbitalis_volume,lh_parstriangularis_volume,lh_pericalcarine_volume,lh_postcentral_volume,lh_posteriorcingulate_volume,lh_precentral_volume,lh_precuneus_volume,lh_rostralanteriorcingulate_volume,lh_rostralmiddlefrontal_volume,lh_superiorfrontal_volume,lh_superiorparietal_volume,lh_superiortemporal_volume,lh_supramarginal_volume,lh_transversetemporal_volume,lh_insula_volume,lh_frontalpole_volume,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Left-VentralDC,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,WM-hypointensities,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior
SPH,0.04328546184280858,0.033608319632149664,0.0805366407191022,0.001286138801838459,0.0909075831110766,0.08348151265566268,0.10050670272833599,0.034419387298602076,0.12993503341969123,0.08134037248336544,0.036802146184481604,0.08218117128971249,0.0975160354368098,0.07740355806436518,0.06887972204628359,0.07531298576427528,0.018550773514756605,0.047306550515549946,0.05818114695876142,0.03232312469180067,0.09464204608433452,0.055904828297967946,0.04426550571147162,0.08623976913842324,0.09140109051761666,0.07666208894469168,0.027384486672471738,0.11869783164343478,0.11218969439362385,0.04846550540483106,0.09647388419797977,-0.022585926264848042,0.0645681008089798,0.09984900870862029,0.0251265905303832,0.00467857395847774,0.1156002200696553,0.05016308063020994,0.030647957530779434,0.09315052445101003,0.11772134028269192,0.09336077872673533,0.12306413871459675,0.1402357695707733,0.12600089463819533,0.04082394588534479,0.09132901366855714,0.07563031515764589,-0.0025999915232237745,0.04509061735366259,0.02814992834261059,0.04385148809046516,0.06049262716078533,0.02883912450667661,0.07172174103388917,0.1189603033438683,0.08170112507522147,0.0949375157320548,0.04483732981305238,0.11661209900447708,0.07132638556282112,0.023488635396364067,0.1060289967362901,-0.03663125660367797,0.09270363294179079,0.06909193347098166,0.007352597385380206,0.037319266198805476,0.1053669511126094,0.10281890010542734,0.05226202852159337,0.09990361067285039,0.09514781439243186,0.0510807851950666,0.08852312477193536,0.10728070394369867,0.08341981857695156,0.030027156443626534,0.09262935967981978,0.087210300039578,0.09969234023747305,0.10995102540309014,0.1464087996947201,0.10180392879082961,0.07989454658916012,-0.0407306996788591,0.04921413455918911,0.04170866503963711,0.03724277964904694,0.028412991256881567,0.06831815578545468
S1P,-0.00375445922209202,0.0754373555531089,-0.00037155913823993993,0.05890397820417545,0.07273330218941527,0.03909558400975758,0.08308776691446708,-0.015892465725958226,0.035154514159431015,0.03542020479546777,0.035056461787656965,0.07450968943930278,0.06234202241602234,0.07367573221975786,-0.010455844169091028,0.0168588373138227,-0.017461730387587325,0.0071521852766051,-0.029066327788510798,0.07315424041576984,0.015257845631060108,0.022901346956752496,0.05115368178582014,0.05666892930688292,0.04941559975272274,0.012324062469272104,-0.024345594809541564,0.10808885592216327,0.07876792980925595,-0.005381919749841312,0.09961342798794873,-0.024663492674482382,0.0494697995109234,0.0713136468830021,-0.007780355714578925,0.09126699844170857,0.0762614104781887,0.02556975403064195,0.03223225487867501,0.03929746927987177,0.012695171604468675,0.044455943887977176,0.05936696505195262,0.07332648610119336,0.07553625494652624,0.1027328389569725,0.020632757939771745,0.024559502842765157,0.004198779904830768,0.012604863361784185,-0.03303375869755477,0.013626811369134966,-0.021624600967930147,-0.008985391487349781,0.053210140949925815,0.06877723085613002,0.028843509409962578,0.03158337645050027,0.03463638144877981,0.06712603479947493,0.08419214200641648,-0.020430739767185065,0.09309703617143826,-0.04857854201657402,0.10355139126559719,0.08794801220501644,0.06902815329306379,-0.0075611255529800326,0.07985923770527735,0.03031904099975126,0.12978228008237608,0.05316770736907101,0.039042387333537765,0.026552869568799178,0.08366873089664527,0.13592031432209922,0.08333699565149624,0.07704005255023906,-0.004343760978992643,0.04064697194762114,0.025579643225105465,0.0687631233712131,0.06996915475143023,0.02556877036953622,0.0884428996219367,-0.06316958278863623,0.076613279491333,0.11912555050813452,0.11123707695076729,0.008982916797075207,0.08890171950871693
DHCER,0.0059360027992283295,0.05071103615868354,0.10025184215857004,0.08999275586281665,0.09144793298393658,0.08566928603386943,0.06922998005277298,0.08634112761292845,0.11214418277876385,0.06687610692840994,0.05750240396203583,0.02444281172541318,0.08587533873318542,0.09994336991917675,0.16856451305822576,0.17777916988113077,0.06075016896140114,0.15282568077717734,0.06965944218297797,0.09918704036783169,0.061033977588089004,0.1647922113027004,0.15343866762566852,0.008485830357422739,0.02975154060718325,0.12654978288660917,0.08026231151412522,0.13347653813671556,0.12983368332109504,0.16933159595601555,0.14941670739911997,-0.03572889904945286,0.038113336508866356,0.06670771092247801,0.08430846843460636,0.017418121865644783,0.08448464962139296,0.09580466441174786,0.06806707676425154,0.035707918656086954,0.0750631640624419,0.05658976682845403,0.050403816224172796,0.054159544853078875,0.11902359543586571,0.048626089600289094,0.10543702444203833,0.16294670650335805,0.029762554483389672,0.15934443395567732,-0.021429833756461715,0.05541725781807186,0.14555228500838469,0.1514380218009682,0.14971717441110052,0.015007682171357124,0.06506862784306781,0.13586454849187007,0.1525510131934941,0.11010939563264426,0.12056002064847816,0.16877520776201316,0.13634536938395025,-0.04368537611159991,0.15349241417642717,0.006187817104481441,0.046265010791313156,-0.09888574415278885,0.06990312216856316,0.0884141872877189,0.008567876256093244,0.15986789615825944,0.16476046131401817,0.09017027977130312,0.11837561615603932,0.14416041710214797,0.023430363628060346,0.025015466897662045,-0.05534473608934101,0.07783925949429948,0.11159663751340851,0.18687433961829106,0.14673636391637732,0.13219940594614413,0.12292890086960283,-0.14928925954813702,0.027158543555948086,0.09192100239985272,0.09508307934166078,0.12243672321699978,0.07431699076237537
CER,-0.0017101207248940028,0.0015822531868603129,0.1268359441214122,0.1229073902506356,0.07892790312461725,0.07480900332754423,0.060513081303989545,0.1280940453980702,0.1754081496620657,0.06557329603514743,-0.007142284306186093,-0.0048880715090645855,0.07864241865617931,0.1037708350555977,0.07403203967543065,0.08398899183785039,0.009505805301301148,0.10103986547047683,0.10377689987125219,0.1120380708839175,0.08787692834971127,0.12460792074278806,0.10419131204867543,0.0030420701096635586,0.039161985008453526,0.08232074823926791,0.0714974380092105,0.07476821657073372,0.10043364850451769,0.13137816705984212,0.08624052794710975,0.02201161062407584,-0.014038106656531844,-0.015070672307753946,0.09435931321398776,0.10901523720217075,0.05789262107882144,0.07001326337518522,0.09428982535957574,0.05685372542542378,0.09811182431410181,0.05520327637339298,0.023942318208983886,0.05142134124850867,0.08169182756119864,0.040447319638325034,0.13833926896915205,0.09771860860608117,0.07872892252948248,0.07870644495112215,0.10075050557045291,0.1000501846281926,0.07315117517254159,0.07614020463510317,0.09395236587684028,-0.023450434653808323,0.04606485760551001,0.0985536098278377,0.05951609622056032,0.05152247914209329,0.09573875373179576,0.09458331228395155,0.05534664425631356,0.018047829479779808,0.13664473595188434,0.052965412923165686,0.07576444270215228,-0.017139334801960993,0.13761318731732156,0.19074522051701928,0.07883915571161643,0.14913352116241604,0.1339777982179057,0.06726942974576872,0.12703035884734182,0.10374142111201316,0.024464850719035782,0.08350059997047761,-0.03630253510747279,0.1371200125848308,0.19330121513269632,0.18787483564096674,0.19739685845766614,0.1360252488689933,0.13728943482813102,-0.05975494243392381,0.07682955493884147,0.08919663421994084,0.08438733955351517,0.04914704679683876,0.08581889175501864
CER1P,-0.05293706617507688,-0.06050567782771101,-0.04653187804865135,-0.024334749062901416,-0.02685453141919165,-0.04453043148356029,-0.03180529648883171,-0.02603313091033479,-0.01896226577563765,-0.039357530597834416,-0.05834639752631897,-0.0006549855787569745,0.01704039107980661,-0.018793387384575946,-0.025026814542746183,-0.030846929413343202,-0.023549181564587258,-0.08372655499852272,-0.037983432580382614,0.015214421763727405,-0.09201631868719239,-0.014417395166354416,-0.053404021074563934,-0.03344483664899958,0.048397277302867615,-0.06418222673516225,0.007957970091519618,-0.03298395897179545,0.019006602385006843,0.0015879662740736007,-0.03770594921725287,-0.03478173884188944,-0.04064023183038724,0.006268099150549833,0.03519754796449563,0.0003726811899759957,-0.02159091346881168,-0.03731831850779191,-0.03097811166671689,-0.026148198070727834,0.010215429103535071,-0.04818485870177392,-0.06028215867715082,0.015240788799481618,-0.013289500455362804,-0.0400112831059092,-0.033645411176643825,-0.05638073179449445,-0.04475159409596414,-0.06667835815690043,0.025484816357469322,-0.01908783033089979,-0.08825059820975767,-0.03427585529374902,-0.03669543382985764,0.0033536295354785243,0.03113297046655231,-0.09075222816775651,-0.01379032521707536,-0.02636272038035782,-0.0042063487217214035,-0.016462028162099896,-0.016207361109417916,-0.024094868166949106,0.06731140497374681,0.0800324967879197,0.042385328627812545,-0.026801036090386574,5.530084495424545e-05,0.045329040073842634,0.08535637649704281,0.03013409212470442,0.017411975213433458,-0.06504292462646945,0.02718694324771615,0.0749780175680826,0.09644392284070459,0.04539040464180878,-0.05004855909115212,-0.02531422634592536,-0.015723906239935106,0.03760616570619527,0.017914593314022405,-0.08048144979940722,0.02238351890284565,0.018124243253459033,0.04404779171135316,-0.0003604759781678476,0.05780340740432689,-0.011200752254932006,0.023209807167484185
HEXCER,-0.040189924323010134,-0.015489214049116714,0.04488167499500846,0.020164244267603187,0.10895516443496658,0.08943385604978808,0.04614659733701406,-0.0007287748921994571,0.07679663651710622,0.05922740202303546,0.00828402193567439,0.005778623998212948,0.07974059119287104,0.12880647292335187,0.0940439815024669,0.07738580889907398,0.037675431925277496,0.09119022581161598,0.06935245571133067,0.11123943368692618,-0.04265064248379301,0.10983482684784845,0.05202381096269797,0.03477039832562189,0.09255658602724108,0.004339535089419213,0.07430596700053725,0.06973852461132024,0.1323082355136228,0.14413869132332793,0.05128453391150536,0.0747010882831101,-0.055435383652554175,0.09190476112596663,0.09593856076126316,0.03943951329337457,0.13255459352169693,0.03463804993582803,0.040266832895694764,0.04097147264563817,0.05753857703838657,0.03952448022047829,0.021077968070302572,0.07987264588527081,0.07850630303766398,0.08942447288269167,0.13355303100674087,0.053975092954494916,0.04492332287892882,0.05062043116192803,0.12025064146076542,0.11329312211391986,-0.03949522169148867,0.11241558548611619,0.0683955679862168,0.04632663739682463,0.05164749023617887,0.030615140120348282,0.06342722592210091,0.0911392927035738,0.14383263223056975,0.08908642964073088,0.05004076318990488,-0.018061653238243384,0.1163356096330834,0.13761446620953377,0.09135428752872764,0.02143293075688973,0.11567597079903601,0.12228720932820576,0.1055975923647511,0.1305069261581236,0.09313285684850607,0.020466202615293028,0.11292671512559466,0.10716589972100854,0.1474453981853147,0.09392563655553327,0.006565706245929521,0.07700119317267723,0.07893619614012924,0.14795111398748884,0.13985049765054758,0.03914385185038458,0.13330751301956686,0.025421735469369957,0.010991496330225739,0.1137900414233243,0.060424013341860656,0.024381775937628414,0.055425817261893974
HEX2CER,-0.05772116556220351,0.014331310459736703,0.07570992353212296,0.010069972777431,0.10465476770871447,0.11498689406491452,0.04412350091000608,0.016482198072616274,0.12640013924682622,0.04282216498972024,0.01365406812987321,-0.04300318506222812,0.09532248991179354,0.07769441724739763,0.03792599337623109,0.04734085813791195,0.009024982179867077,-0.0016424462683283232,0.06468966146442455,0.0933451624365731,-0.043273169548646864,0.13171965811674022,0.052638986288029516,-0.0017490588911512333,0.10759713026824677,0.00020623569994520253,0.11864319632169636,0.020047926026197246,0.05754663929654997,0.07681197480866175,-0.024444396689655454,0.037287396672350495,-0.04819545498394824,0.11107689459710339,0.09293392220553244,0.0496400443179758,0.08720774938704753,0.05614712803482674,0.06061239984356169,-0.03424982234029533,0.0865045068339395,0.043624794336932095,0.02062043098866281,0.04559150490511196,0.07896612340896185,0.02430220567280222,0.09804316025803528,0.028933620991092836,0.08279657988623954,0.010489241355827534,0.11722764419442296,0.07312831307994704,-0.027518171170216585,0.09607185126549553,0.04815080537612281,-0.016752230771889257,0.02099924314031865,0.027051201730968963,0.06898086572862686,0.027970508413566398,0.0801489694771786,0.02731272081382912,-0.013027946623582337,0.020373052404054553,0.08309376562108531,0.08764969435361517,0.04967545543413804,0.0012087726325829943,0.03111025797695903,0.10669273979746484,0.04320997100792009,0.0823561356905365,0.05567302386942401,0.040915882883861734,0.09821810375367922,0.04163854540135824,0.08652564899658771,0.06484328496558864,-0.01957620321239225,0.018772004826925134,0.05894413583682165,0.131676791805305,0.11016419227426963,0.08649653171434842,0.1258028959815467,0.01730190044098238,0.16351029335627995,0.10764739730666896,0.153668430012173,0.09845927188493851,0.17109171578606372
HEX3CER,-0.11296064978257525,-0.15962754533182444,-0.1079098734603185,-0.1022591536365113,-0.12774198995646174,-0.13182048335422972,-0.20103254112271138,-0.07141434778412215,-0.12398647969322632,-0.18095510645191415,-0.1385823028740659,-0.12547381160068816,-0.1485749907594432,-0.06985871958829061,-0.1605844397451704,-0.13084427246624666,-0.09888672962353927,-0.15412534537161388,-0.007055726202606397,-0.08516912811682363,-0.16204664898621385,-0.11254645847975699,-0.1533995906843531,-0.12690047063813392,-0.10605523989793261,-0.1977150617239742,-0.04815871779135935,-0.22832858990678231,-0.14062045802431522,-0.07783853005188128,-0.1625433130137267,-0.009587836573230634,-0.122532743277623,-0.08961563681530907,0.004713586300714269,-0.058011899025692426,-0.0998688366721838,-0.15662640816983714,-0.15645936611177158,-0.11662152575686692,-0.1727057121336878,-0.1749559388602712,-0.12423555506868768,-0.06850077581757279,-0.14371215200295304,-0.0810941094709647,-0.1366246148591073,-0.15922980685609492,-0.12178013178586289,-0.17365709188108724,0.0579120913122926,-0.10172276426935532,-0.17377870570893425,-0.11536773748867818,-0.1362589269260523,-0.13438753577620396,-0.14364715319274665,-0.19085862590223565,-0.06128371503286227,-0.1811388247773009,-0.10753301862323221,-0.07613942314519466,-0.1296363761663649,-0.01992083384253265,-0.030236805795400633,-0.05398999485454503,-0.0697552921570243,-0.06316294076594477,-0.07225755806689117,-0.052714666233474115,-0.031203297717996275,-0.09157877368466998,-0.16023771740496,-0.10946397057330585,-0.13215980368568525,-0.030746436109876648,-0.05729920396303697,-0.09497681785991544,-0.10424513062804307,-0.09537707051252191,-0.09016192969833939,-0.06907167694943714,-0.14258384759285686,-0.13055362475130206,-0.12021426041974675,0.027511790200536193,-0.000317546674250155,0.003418823057081696,0.04527045215170842,-0.06722430504080444,-0.0500183003240446
GM3,-0.16277742102757542,-0.05595224282907427,-0.13866334300468397,-0.08885633260506384,-0.1651358355803078,-0.1653607095584815,-0.1590112403647702,-0.05126535249808081,-0.10666502245099382,-0.13816029468685406,-0.15660666764085873,-0.0924163645469537,-0.16468018008836055,-0.11865887818296934,-0.18184593932013055,-0.16703756579570217,-0.12249709009033383,-0.08145927576786327,-0.05131622543655614,-0.0778335886274817,-0.21654519423620233,-0.17478018364483489,-0.07969775956875663,-0.17736981122943885,-0.07553878556935034,-0.1623093867705256,-0.05748821231387577,-0.20972007213108124,-0.16376023070626428,-0.10487310167097379,-0.10681141354204884,-0.0018250185272637091,-0.1659543540861026,-0.08101774790870094,-0.020916055089254686,-0.05195768995595411,-0.08303046931248836,-0.19204195985247294,-0.12864543912573406,-0.07988052285398288,-0.12875920700847532,-0.11974469367503153,-0.11939275534530394,-0.11654638600979843,-0.1807237374983439,-0.07437243358995699,-0.1799489121606709,-0.12879127648278674,-0.05347303563831256,-0.14116334545180456,0.01420738379502922,-0.10115594983675467,-0.17425159193257042,-0.1693110753678605,-0.10205678742406486,-0.13371543604749517,-0.04565245031068961,-0.14767914518536607,-0.10546235480481637,-0.1813565815361903,-0.09534645985345588,-0.023388187286045463,-0.1109138943366216,0.0078101186753589125,-0.04963713912256693,-0.05030866194761625,0.04459953427960127,0.01356322583587982,-0.03887074582342331,-0.10590883690114296,0.0295004127348251,-0.1047372490016282,-0.1854694807297808,-0.08905029392897248,-0.10306039333834588,-0.03448119029225896,-0.07383843373281847,0.006771343870732269,-0.051909628664572084,-0.07204641535473173,-0.11348749933339253,-0.10743497397531443,-0.1182173498995581,-0.1334475134109979,-0.10365737160597553,0.1478307699334271,0.016336260758428593,0.042494400411916405,0.033294272709498925,-0.022993429371854657,0.00776669981634792
GM1,-0.12702241359432198,-0.000789657147658428,0.009924884811194377,-0.058693714081337056,0.06271332411667861,0.026705603869217522,-0.007162982056348989,-0.04472539995337131,0.044012746144213175,0.013101544782007254,0.020275581298414936,-0.03208757220424541,0.04154669345074039,-0.04796500094978709,0.028937424059734353,0.005938702612473691,-0.012206920486131614,-0.048853884069384027,0.01050599141649784,0.07250582042223086,-0.05879020583181085,0.03568049248426226,0.02808163276293762,-0.04116158278315772,0.050881280706620395,0.00045533781983647637,0.05701891254826704,-0.023392526576337926,0.06686355638481076,0.012141353057475358,-0.028374491630130186,0.0024317550002261727,-0.05130066940011237,0.044465254344442685,0.01301749860251238,-0.016324673309899614,0.03396300210380127,0.058956834137207884,-0.013743736021047502,0.038063658601195684,0.012197691129951817,0.020400860910802024,-0.014755895381882118,0.029453739156059318,0.06781781082039907,-0.05157339312176076,0.08107314807033628,-0.02357024679187602,0.07587392603192704,-0.03273101964377353,0.03435695481673846,0.07097326427656572,-0.0746739005021812,0.038660728921469614,0.02014775631389806,-1.605967742357488e-05,-0.0029461494420248047,0.00579757135217127,0.027625892755684847,-0.005534617709263713,0.027954638093279534,-0.016125097423671686,-0.02356311224009344,-0.02103252634106782,0.023560495815846377,0.06802001576066663,0.07170327078399553,0.10589793574797948,0.015702091288316483,-0.01010980686205038,0.057170508321521825,-0.022275205415955728,-0.023585402372639095,-0.026538744254708972,0.03291355517605552,0.014421662988790239,0.07734031631406632,0.07340330882159035,0.07389856711484506,0.006551472365574827,-0.02801287250724312,0.019231497976838655,0.00047110981718989723,-0.03238656636033483,0.0689590252792421,0.0874266507218853,0.11164005279779365,0.10764213723687212,0.11256366886988466,0.046248511289626586,0.15068016449864852
