Feature,log2FC,p_value,student T-test
TG.50.3...NL.18.3.%mol,6.347150744487077,0.27234392395822893,-1.0984376025516904
PE.16.0_16.1.%mol,5.587399920477171,0.4148496363251848,-0.8158135058640854
CE.16.2.%mol,4.536181262988631,0.013279382656330533,-2.4817175679995715
CE.18.1.%mol,3.9540412358577317,0.7091263379999997,-0.37316252700636
PC.P.38.5...A.%mol,3.82973948883442,0.04588432752755307,-1.9995712254600877
TG.O.54.4...NL.18.2.%mol,3.4578372447221355,0.05970408407966646,-1.885651094603558
TG.54.5...NL.20.4.%mol,3.389664909808161,0.2012107936725494,-1.2791623279752
PI.34.0.%mol,3.186058717236868,0.7358089803556426,-0.3375259674745868
TG.O.50.1...NL.17.1.%mol,2.8807055008884532,0.22605331385512065,-1.2115215450709567
CE.16.1.%mol,2.4619864519439965,0.17865469547876472,-1.346090320043048
PE.P.16.0.22.5...N6.%mol,2.1965574679678355,0.011032851600785609,-2.547594886767503
PE.P.18.0.20.3...B.%mol,2.1309786344562056,0.2710201143931894,-1.101477638647102
TG.52.5...NL.20.4.%mol,2.030598907119959,0.5127207802957561,-0.6548993930915765
CER.D18.1.26.0.%mol,1.908453699590389,0.7236306833083052,-0.35373501135220425
TG.O.54.4...NL.17.1.%mol,1.7915495534573047,0.20780308303416103,-1.2606484450101219
TG.56.8...NL.20.4.%mol,1.711460576822116,0.21865979816597444,-1.2310664739646273
PC.38.5...A.%mol,1.6353667829071092,0.07919657991118087,-1.7576085081357946
METHYL.CE.20.4.%mol,1.617418835057567,0.8738981494151351,-0.15875985165494594
PC.P.36.3.%mol,1.5186326166029183,0.5843629673495968,-0.5472451172821238
DIMETHYL.CE.20.4.%mol,1.5183645337523402,0.6188930051630933,-0.49761382099646995
DG.18.2_20.4.%mol,1.396348375403992,0.708951379857217,-0.37339771864208504
PC.16.0_18.3...B.%mol,1.2024772965500592,0.2572505785782035,-1.1337225274555458
LPI.20.4...SN2.%mol,1.1143821158542089,0.5746953663394923,-0.5613805368113258
TG.56.7...NL.20.4.%mol,1.0390095251346771,0.19739794166943422,-1.2900734223159613
TG.O.54.2...NL.18.1.%mol,0.9755411211170859,0.5651589598793028,-0.575434987519038
TG.56.6...NL.20.4.%mol,0.9753823103368298,0.5194874922892629,-0.6444205435599312
PS.36.2.%mol,0.9533180403177433,0.519034795339258,-0.6451193660075408
TG.54.6...NL.20.4.%mol,0.9043185880040134,0.46462308375466876,-0.7316064044017613
TG.48.3...NL.18.3.%mol,0.8808453489139048,0.8707291678252805,-0.16278456858143964
LPI.18.1...SN2.%mol,0.8427293985124038,0.7384203777280997,-0.33406192916560884
PE.O.16.0.22.4.%mol,0.7218991484450541,0.7666521706048547,-0.2968577489588192
PC.16.1_20.4.%mol,0.6494929236709197,0.5571728662385992,-0.5872926813261664
TG.50.1...SIM.%mol,0.6032880241141516,0.9128655440846642,-0.10945943586717496
PE.P.18.1.22.6...B.%mol,0.43346285872515367,0.413351500259051,-0.8184368511595556
CE.22.5.%mol,0.3579801326280254,0.6894153553859195,-0.39979347424017214
SM.D18.1.16.0.%mol,0.3240388277976205,0.8039675953211334,-0.24829796460425613
PC.P.38.5...B.%mol,0.16053848965962203,0.7977067404285937,-0.2564015117380557
PE.P.18.1.20.4...B.%mol,0.12989861286624738,0.77520191532835,-0.2856738103157564
PE.O.16.0.20.3.%mol,0.12510949480203948,0.8953527836109374,-0.13157595973718844
TG.54.0...SIM.%mol,0.08266872529947733,0.9804350770206599,-0.02453112179715501
PE.P.18.1.22.4.%mol,0.07911486455321892,0.8024431307643951,-0.2502695856568814
PE.P.18.1.18.1...B.%mol,-0.0011016637376677352,0.9984781109593588,0.001908002366247133
LPC.20.4...SN2.%mol,-0.007523241571615102,0.9954082555591953,0.00575672874470372
SM.D18.2.20.0.%mol,-0.08118681220838297,0.9809009365794694,0.023946899117188565
PC.17.0_20.4.%mol,-0.17488798459615396,0.9691112344647033,0.03873512267478754
CER.D20.1.24.1.%mol,-0.21522736812441323,0.8690702854499786,0.16489245599721453
LPE.P.18.1.%mol,-0.26596534866127897,0.7655113084599955,0.2983528974797832
PC.16.0_20.3...B.%mol,-0.28689115523671305,0.725750074258888,0.3509075738877462
SM.D18.2.18.0.%mol,-0.36387406525280674,0.65190874864596,0.45128182016681284
PC.O.16.0.20.3.%mol,-0.37621921538708136,0.7907315007617219,0.26544962176519876
PE.P.18.1.22.5...B.%mol,-0.3928023787310764,0.5409488845907531,0.6116412896897221
TG.54.4...NL.20.3.%mol,-0.4553764597769927,0.7358361890930993,0.33748985404039544
PE.16.0_18.3...B.%mol,-0.5663987808940156,0.8044073921475863,0.24772934630908372
TG.O.52.1...NL.16.0.%mol,-0.5938109633265682,0.762185941913365,0.30271475791089913
LPC.20.4...SN1.%mol,-0.8275365514383068,0.5441051367729453,0.6068763884175722
DG.16.0_16.1.%mol,-0.8773977686093133,0.8206554558559773,0.22677652002213688
PI.16.0_20.3...B.%mol,-0.9086761255741216,0.7064387494812896,0.37677767079433333
SM.38.3...B.%mol,-0.9236424935578356,0.09257627220126335,1.6839766615581184
PE.16.1_18.2.%mol,-0.9975788180268346,0.7560279791065335,0.3108074347978149
SM.34.3.%mol,-1.1773713486209267,0.01768611646070881,2.377047008028105
PE.P.18.1.20.3...B.%mol,-1.3154907228861958,0.1898240926816206,1.3122146532829586
PC.18.1_22.6...B.%mol,-1.319530037943025,0.04168627713639398,2.0399200788642324
GM3.D18.1.16.0.%mol,-1.356372987607081,0.7289755693169484,0.34660987949859207
PC.P.18.0.20.4.%mol,-1.4619859826914912,0.7031244265616048,0.38124265463859525
TG.48.2...NL.16.1.%mol,-1.5444146034908108,0.3052712946735326,1.0258522882968006
CER.D18.1.14.0.%mol,-1.6299433115026893,0.5112551187280789,0.6571785721741352
CER.D20.1.23.0.%mol,-1.7222536778585642,0.3782299951410584,0.8816517068665015
PE.16.1_20.4.%mol,-1.7331786346766798,0.488425942798856,0.6931351039504305
GM3.D18.1.20.0.%mol,-1.9338726679131284,0.013676243230883591,2.4711227678441348
SM.D18.2.18.1.%mol,-1.9406458693182458,0.000328113762202807,3.607695614410842
PE.P.18.1.18.2...B.%mol,-2.0282115864002073,0.0009778687525284183,3.3090873192417956
SM.40.3...B.%mol,-2.049499762892614,3.246938057266165e-05,4.179259460760665
GM3.D18.1.24.1.%mol,-2.1089941491816973,0.2977712653113446,1.041903310902461
PE.18.0_20.3...B.%mol,-2.133080998205486,0.7867610267400946,0.27060970963174674
SM.D16.1.19.0.%mol,-2.147543033097456,0.5415377094020014,0.6107513062444745
TG.50.2...NL.16.1.%mol,-2.1901116981337445,0.15038582375026066,1.4395503461366443
PC.38.7..C.%mol,-2.294068399544301,0.18145444097993235,1.3374544967181454
TG.52.4...NL.18.3.%mol,-2.306673789038694,0.15304266683619042,1.4302257728081635
TG.48.2...SIM.%mol,-2.3844816731599643,0.25806233660178257,1.131788884193308
AC.16.1..OH%mol,-2.435854790701569,0.29016463089510347,1.0584613878129725
TG.50.4...NL.18.3.%mol,-2.441928132411231,0.22807706614660758,1.206251673253054
CER.D20.1.22.0.%mol,-2.455135779166074,0.10246186821600431,1.6349073080603445
PC.38.4...B.%mol,-2.6898598855872837,0.0029465211780318576,2.982431739591102
GM3.D18.1.18.0.%mol,-2.7277235656507237,0.5444734613824982,0.6063212390619617
TG.50.2...SIM.%mol,-2.730474769878157,0.1265809222098092,1.529317982373177
CE.22.4.%mol,-2.7574076608164777,0.005123780559092991,2.806895337292017
CE.22.6....OH.%mol,-2.7966195561565783,0.3706120596199517,0.8958318206598699
SM.35.2...B.%mol,-2.817851558163614,0.0014766191541283342,3.190310266793374
TG.O.54.3...NL.17.1.%mol,-2.936993833492206,0.3847637122309593,0.8696295673802262
TG.48.1...SIM.%mol,-3.3297759621748657,0.6723695106969628,0.4230540671278983
TG.48.2...NL.14.1.%mol,-4.104566445977898,0.16203806504606078,1.3995422630448766
LPC.P.18.1.%mol,-5.422699881273207,0.0008685306952380342,3.3426002642593424
TG.51.2...SIM.%mol,-5.79395935937079,0.14194854253234795,1.47002352762221
TG.50.3...NL.14.1.%mol,-5.809448894683051,0.0006379379328665626,3.4285105569931
SM.D18.2.22.0.%mol,-6.0222648222160675,0.5570685986829476,0.587448041242409
TG.54.6...SIM.%mol,-6.456690214452269,0.6240999225636145,0.49023798807400004
SPH.D18.1.%mol,,0.38050994369018964,0.8774421614328476
SPH.D18.2.%mol,,0.33914598612522173,-0.9564259880593026
S1P.D16.1.%mol,,0.9390235425857272,0.07652124777894898
S1P.D18.0.%mol,,0.09277990170267791,-1.6829244252755542
S1P.D18.1.%mol,,0.179514067028796,-1.3434289328765003
S1P.D18.2.%mol,,0.0019877619305414557,-3.102290213790962
DHCER.D18.0.16.0.%mol,,0.4559144574272884,0.7459537905476327
DHCER.D18.0.18.0.%mol,,0.36456422756617746,-0.9072189093043544
DHCER.D18.0.20.0.%mol,,0.20125036717052433,-1.2790498782921527
DHCER.D18.0.22.0.%mol,,0.8494204020328565,-0.1899194840135208
DHCER.D18.0.24.0.%mol,,0.16029297015687577,-1.4053919561933863
DHCER.D18.0.24.1.%mol,,0.16136419857115405,-1.4017954391082859
CER.D16.1.16.0.%mol,,0.0005577119650467283,3.4653649200216345
CER.D16.1.18.0.%mol,,0.023386983906242133,2.2714106753615337
CER.D16.1.20.0.%mol,,0.001904671845597539,3.1150615237485106
CER.D16.1.22.0.%mol,,0.04042458860044823,2.052719439975433
CER.D16.1.23.0.%mol,,0.018774643927644823,2.354774724116262
CER.D16.1.24.0.%mol,,0.3698714136836001,0.8972200804593149
CER.D16.1.24.1.%mol,,0.00040656030100664396,3.55076375004869
CER.D17.1.16.0.%mol,,0.002954874191746073,2.9815553006310367
CER.D17.1.18.0.%mol,,0.030520844245294925,2.1671106754236273
CER.D17.1.20.0.%mol,,0.01012474463488644,2.5776709970257587
CER.D17.1.22.0.%mol,,0.00010503103300811163,3.8981993931393046
CER.D17.1.23.0.%mol,,0.0008650706039371318,3.343723561650373
CER.D17.1.24.0.%mol,,0.025108780338742143,2.2439435912645873
CER.D17.1.24.1.%mol,,0.00014704876463121551,3.814359738044832
CER.D18.1.16.0.%mol,,0.00010528213146682126,3.8976099420926062
CER.D18.1.18.0.%mol,,3.970117013659278e-05,4.132293358838831
CER.D18.1.19.0.%mol,,0.0719363202715545,1.8019074435698892
CER.D18.1.20.0.%mol,,8.41173076037221e-06,4.483606401860682
CER.D18.1.21.0.%mol,,9.166487601186585e-05,3.931674342512239
CER.D18.1.22.0.%mol,,0.002127071041725111,3.0819401203425643
