Feature,log2FC,p_value,student T-test
TG.56.7...NL.20.5.%mol,5.098904953294873,0.08816169722692455,1.7062069426183142
PE.P.20.1.22.6.%mol,4.929677585079265,0.06675196218966722,1.8345781667202705
PC.P.18.0.22.6.%mol,4.921466994333851,0.06884529066858641,1.8206477335355638
PE.P.18.0.20.3...B.%mol,4.6904767469205915,0.06906600916300758,1.8191993205741597
PC.P.16.0.22.6.%mol,4.486391202074497,0.024850726767159385,2.245811704451999
PC.14.0_22.6.%mol,4.082281451675968,0.20258390175315283,1.2747417999475403
FA.18.3.%mol,4.051894493806525,0.4764956318545085,0.7121161756918455
PE.O.18.1.22.6.%mol,3.989355118942612,0.0019462955379010835,3.1033953806455887
PE.O.18.0.20.4.%mol,3.8385543684590537,0.2480221555003336,1.155584061891323
PE.P.16.0.20.5.%mol,3.16278025583493,0.08990441815910626,1.696919665091664
PC.18.0_22.6.%mol,3.1453521259644965,0.12182619079562014,1.5479663941366724
PE.O.16.0.22.6.%mol,3.091737540853412,0.01093616640895557,2.547678126175684
PE.P.18.0.18.3.%mol,2.996610785433841,0.1517202582770844,1.4341593690790477
PE.16.0_22.6.%mol,2.8253160950686933,0.34239077309179755,0.9497313749226016
PE.O.36.5.%mol,2.6364748734093375,0.08947616930967033,1.6991883383697661
PC.16.0_20.5.%mol,2.576966004644923,0.3054857289472524,1.0250654336028173
CE.20.5.%mol,2.5165117007495077,0.3937136924956045,0.8531299165277324
LPE.P.16.0.%mol,2.4566847459548278,0.5771282636610366,0.5576974205385559
PC.O.36.5.%mol,2.4013626990156745,0.20468217499254723,1.268836328109308
PC.O.34.2.%mol,2.395285260352189,0.6840554580525491,0.40700875724968405
TG.54.6...NL.20.5.%mol,2.3636067467080224,0.2274345360942102,1.207452719977816
DE.18.2.%mol,2.2757328070629725,0.8513352318094205,0.1874450540796225
PE.P.18.1.18.3.%mol,1.9116061036940302,0.0726493407336695,1.7962005906411078
PE.P.16.0.20.3...B.%mol,1.7901977060043528,0.2029701597749173,1.2736513620316587
PC.P.16.0.20.5.%mol,1.781803467199179,0.3195001586691137,0.9957922869187681
AC.14.1..OH%mol,1.6867949463902683,0.6633272348256947,0.4354041631810275
PC.O.32.1.%mol,1.645486058120035,0.1966944775968386,1.2915593744100087
PC.P.18.1.22.6.%mol,1.4479521521359473,0.3074839262401956,1.0208381443050003
TG.56.8...NL.20.5.%mol,1.3518457443842067,0.6247865286411551,0.48917169963416285
PE.P.18.1.22.5...A.%mol,1.2899610688504843,0.26461139738236505,1.1159454434197855
DIMETHYL.CE.22.6.%mol,1.2803523660248608,0.6199049174622067,0.49608072894066063
PC.O.32.2.%mol,1.2372697169204017,0.5269923313202161,0.6327409688535988
TG.56.7...NL.22.6.%mol,1.1515843992145296,0.3008488222755438,1.034946331992374
PE.P.16.0.18.2.%mol,1.1243097519982257,0.5795705368347925,0.5541241728459213
PS.40.6.%mol,1.1160671278451595,0.4160317389011927,0.8135341215595588
PE.O.16.0.20.4.%mol,1.0191141258028509,0.4457819106224422,0.7626526016985175
PC.16.0_18.3...B.%mol,0.9016434101615616,0.7452252395595086,0.32499722565431494
PC.15.0_22.6.%mol,0.8836623924840445,0.7234057663109362,0.3539723714659772
TG.58.10...SIM.%mol,0.8793765904582624,0.45906108388345257,0.7405711629944987
PE.O.38.5...B.%mol,0.8020455429477984,0.44670188856613735,0.7611108798721625
AC.13.0.%mol,0.7107076903894622,0.5495950284680965,0.5984928123894333
CE.16.2.%mol,0.6879156700524618,0.6411660327235931,0.4661568874296095
PC.16.0_22.6.%mol,0.6344472409259438,0.5143326473494991,0.6522500371620281
DG.18.2_22.6.%mol,0.546313000239607,0.7946824746201595,0.26027803304939057
PC.18.2_20.5.%mol,0.41052541002135357,0.8638387414843315,0.17151699627328193
PE.P.18.1.18.2...A.%mol,0.3784029340579025,0.7914939519702037,0.2644148961929161
CE.20.3.%mol,0.34431386321966073,0.8962776759263638,0.13038548735755454
PC.O.18.0.22.6.%mol,0.31623696339009655,0.9070390593248849,0.11679242473716735
PC.P.35.2..B.%mol,0.2725017222260817,0.9138143174904938,0.10824559271752207
TG.54.7...NL.22.6.%mol,0.2099823921331101,0.8735949816475048,0.15911902628665128
PE.P.18.1.20.3...A.%mol,0.03340038852929794,0.9875489435068372,0.015608133562160646
PC.O.18.1.18.2.%mol,0.01248335707624193,0.99701805852988,0.0037378963283028464
PC.36.6...A.%mol,-0.023314710696535457,0.9908170672362286,-0.011511134452732837
PE.P.18.1.20.5...B.%mol,-0.034230658044073436,0.9758202157902159,-0.03031419910956436
PE.P.18.1.22.5...B.%mol,-0.04137381904535431,0.9874139937981723,-0.01577731495071612
TG.58.9...SIM.%mol,-0.04558178254714562,0.9637893884662196,-0.045405899836394086
TG.54.7...NL.20.5.%mol,-0.06557175380645575,0.9763263536303355,-0.029679465562989855
TG.56.7...SIM.%mol,-0.08186735353838692,0.940630094493225,-0.07448952583825648
DE.22.6.%mol,-0.08482104617524655,0.9457027466628147,-0.06811471066923706
TG.56.8...NL.22.6.%mol,-0.15135975239654087,0.9096485878633254,-0.11349958792388147
PC.P.16.0.18.3.%mol,-0.25158776101248037,0.9193091426191435,-0.10131983209040443
TG.58.8...SIM.%mol,-0.2612737409571544,0.7551114475760281,-0.31195963044789604
TG.48.0...NL.18.0.%mol,-0.27045381018331227,0.9764987447776725,-0.029463277310296375
LPC.20.5...SN2.%mol,-0.28711204190076955,0.8969023058352329,-0.12959586138457493
PI.38.6.%mol,-0.2982347343569458,0.9793688776150036,-0.02586416301487495
TG.56.8...NL.20.4.%mol,-0.3027023275933587,0.9038712901455872,-0.12079138509914443
PC.P.36.3.%mol,-0.33188063266200274,0.8965936350443545,-0.12998605746531908
LPE.P.18.0.%mol,-0.345299030604977,0.8264104301117807,-0.21934317795641084
TG.50.4...NL.20.4.%mol,-0.4663550993817509,0.9671913539912191,-0.04113750870102242
TG.58.8...NL.22.6.%mol,-0.48063114020626685,0.6273915895965592,-0.4854942700329084
PC.P.18.1.18.1.%mol,-0.4916526544924267,0.8540939593232862,-0.18392679531902187
TG.58.9...NL.22.6.%mol,-0.5134906418777945,0.7012928808623036,-0.3836438772843831
DIMETHYL.CE.20.4.%mol,-0.5652968695161071,0.925577262997833,-0.09342531256694482
TG.58.10...NL.22.6.%mol,-0.6211897623376537,0.7221068465797158,-0.35570644123591405
TG.56.8...SIM.%mol,-0.7133505118974526,0.5596606564111722,-0.5834665978895188
PE.P.18.0.20.3...A.%mol,-0.757268150853946,0.9844250176662457,-0.019524606829488107
TG.56.9...SIM.%mol,-0.7684023732853458,0.5692157011294898,-0.5693235635303932
LPI.18.1...SN2.%mol,-0.8070454142636088,0.9139193007599675,-0.10811322258309385
PS.40.5.%mol,-0.9277519199129465,0.5577769879935419,-0.5862684766500985
LPI.18.1...SN1.%mol,-0.9577242035252311,0.7019959045976087,-0.38269546592608994
PE.P.18.0.18.2.%mol,-1.1310385443417097,0.6371645794644458,-0.4717560964347117
LPC.20.5...SN1.%mol,-1.1475149347097222,0.6275131469300297,-0.4853228345283371
PC.38.6...A.%mol,-1.1558664183510032,0.518048193319623,-0.646498776971772
TG.56.7...NL.20.4.%mol,-1.235427207464344,0.310402220529988,-1.0146969137421014
AC.24.1.%mol,-1.271501757139358,0.59576861849589,-0.530600407695913
PE.P.16.0.22.5...N6.%mol,-1.306936548057461,0.038911738678119284,-2.066802344748696
LPE.P.18.1.%mol,-1.7344189208203922,0.03816056825493971,-2.074826334374041
PE.O.16.0.18.2.%mol,-1.738063071525282,0.24718357551456996,-1.1576362595637744
PC.16.1_22.6.%mol,-1.7456503128044467,0.2541174426568562,-1.1408114184689933
TG.50.3...NL.18.3.%mol,-1.8014557981923005,0.8591763236491431,-0.17745108371611076
TG.56.9...NL.22.6.%mol,-1.810866552015483,0.3191239813900339,-0.996566887968484
PE.P.18.1.20.4...B.%mol,-1.8291023434074969,0.04880384418314601,-1.9717905676211396
PC.P.35.2..A.%mol,-1.8636234093459656,0.634814712524399,-0.47505114917523444
PE.P.18.1.22.6...B.%mol,-1.8983596293547507,0.006233988310616459,-2.7388064670776275
PI.18.0_22.6.%mol,-1.9050679419789631,0.1065672783652384,-1.6147166870398217
LPI.18.2...SN2.%mol,-1.9611496209437291,0.4187095072075183,-0.8088691081394729
PI.16.0_20.3...B.%mol,-1.978912117153893,0.638357249412475,-0.47008566016093395
PC.17.0_22.6.%mol,-2.026714508680577,0.29431216302804125,-1.0490495775703563
PE.18.1_22.6...A.%mol,-2.035031098478651,0.40700690157387565,-0.8293888492989148
PC.15.MHDA_22.6.%mol,-2.1238172963194124,0.2985036225575586,-1.0399824547578704
TG.56.6...SIM.%mol,-2.5281830360437567,0.34129958791581194,-0.9518811861465931
LPC.22.6...SN2.%mol,-2.5465062272267147,0.3492201828278255,-0.9363747510106659
LPC.22.6...SN1.%mol,-3.165612118442308,0.09070949014851354,-1.6926782121562813
PC.P.38.5...B.%mol,-3.2616373791040694,0.015378587127375252,-2.42591767187089
PE.P.18.1.18.1...B.%mol,-3.273152996200725,0.0004548830366699819,-3.513229995819895
CE.18.2.%mol,-3.557373771905846,0.033644900519543344,-2.1261151352241363
PC.40.8.%mol,-3.5610613421923247,0.13223201950134988,-1.5061191726576109
UBIQUINONE%mol,-3.9527078617025513,0.0002595013228587,-3.6608167321313396
PE.P.18.1.22.4.%mol,-4.2780289914492755,2.1602843214782893e-08,-5.626785351075165
PE.15.MHDA_22.6.%mol,-5.136031168928401,0.5568258405376445,-0.5876850191121608
PC.18.1_22.6...A.%mol,-5.176515227722817,0.16784748598442595,-1.3797727886912448
PE.P.18.1.20.3...B.%mol,-5.360028474034145,0.01430666690292641,-2.4521251678735405
PC.16.0_20.3...B.%mol,-5.397283076806559,0.46238195891119105,-0.7351054193939871
PS.36.2.%mol,-6.045380484320891,0.22484263455855075,-1.2142160677892313
AC.16.1..OH%mol,-7.109635136897509,0.6633400299273188,-0.43538652887673257
SPH.D18.1.%mol,,0.004866256486263078,2.8196505894975603
SPH.D18.2.%mol,,3.739329478881391e-15,7.940440043946608
S1P.D16.1.%mol,,0.24191239831062825,1.17064922999625
S1P.D18.0.%mol,,0.32434554698654927,0.985867848457371
S1P.D18.1.%mol,,0.37359271623809054,0.8900105119773616
S1P.D18.2.%mol,,0.0023520857720912337,3.0465795810253433
DHCER.D18.0.16.0.%mol,,4.041941255654304e-08,5.515553612669748
DHCER.D18.0.18.0.%mol,,0.03830207414813036,2.0733045599053677
DHCER.D18.0.20.0.%mol,,1.3743038370889175e-11,6.809742009250416
DHCER.D18.0.22.0.%mol,,3.0418432612833136e-09,5.962650252678479
DHCER.D18.0.24.0.%mol,,4.972626731929687e-10,6.258357518546507
DHCER.D18.0.24.1.%mol,,0.0010017176279554349,3.2960722578959096
CER.D16.1.16.0.%mol,,0.9479242201543703,0.06532386628840602
CER.D16.1.18.0.%mol,,0.05331020929341694,-1.9338158435295683
CER.D16.1.20.0.%mol,,0.24575220520827773,-1.1611504562350148
CER.D16.1.22.0.%mol,,0.7327167088102007,-0.3415729467436143
CER.D16.1.23.0.%mol,,0.13742869845650352,-1.4861719736892764
CER.D16.1.24.0.%mol,,0.9816693484255258,-0.022979642739795043
CER.D16.1.24.1.%mol,,0.0006632109672514606,-3.4109947292586584
CER.D17.1.16.0.%mol,,0.06950762739724026,1.8163126933352938
CER.D17.1.18.0.%mol,,0.00012777819835630214,3.840010995355477
CER.D17.1.20.0.%mol,,0.039979047748950336,-2.055624922978786
CER.D17.1.22.0.%mol,,0.33327088045094144,-0.9678364471358195
CER.D17.1.23.0.%mol,,0.46470347501504905,-0.7312975089501442
CER.D17.1.24.0.%mol,,0.4679749988630105,0.7259492602670724
CER.D17.1.24.1.%mol,,0.020815291777404862,-2.313587981592308
CER.D18.1.14.0.%mol,,0.6384121484751026,-0.4700088009487596
CER.D18.1.16.0.%mol,,0.5987780065850414,-0.5262625629049922
CER.D18.1.18.0.%mol,,0.7199711880383817,0.3585598958226906
CER.D18.1.19.0.%mol,,0.4111223674639708,0.822133213923203
CER.D18.1.20.0.%mol,,0.3500695116457858,-0.9347253430488073
CER.D18.1.21.0.%mol,,0.021157093128678552,-2.307423023475358
CER.D18.1.22.0.%mol,,0.27988633953062153,1.0809371882363843
CER.D18.1.23.0.%mol,,0.4608514032425176,0.737621783315255
CER.D18.1.24.0.%mol,,0.03436389944733417,2.1175696029147453
CER.D18.1.24.1.%mol,,0.020664308434307138,-2.3163393806732753
CER.D18.1.26.0.%mol,,1.3576614978303348e-07,5.294447333326866
CER.D18.2.14.0.%mol,,0.8684566716311519,-0.16564548227562995
CER.D18.2.16.0.%mol,,0.48644923845113985,-0.6961272644783861
CER.D18.2.18.0.%mol,,0.7022776275348692,-0.3823155054124673
CER.D18.2.20.0.%mol,,0.01932529830436594,-2.341540153855977
CER.D18.2.21.0.%mol,,0.0010706199171309422,-3.277211128004641
CER.D18.2.22.0.%mol,,0.7907702832865733,-0.26535442891497474
CER.D18.2.23.0.%mol,,0.8288537972034871,-0.2162068558974822
CER.D18.2.24.0.%mol,,0.41442168803964086,0.8163475770985554
CER.D18.2.24.1.%mol,,0.009152912030854476,-2.6094348923437947
CER.D18.2.26.0.%mol,,0.0006031852128753939,3.4369646498380844
CER.D19.1.16.0.%mol,,2.4376602470692606e-05,-4.232810193416903
CER.D19.1.18.0.%mol,,0.6693565737190007,-0.4271093604198607
CER.D19.1.20.0.%mol,,0.4142743912664666,-0.8166052909441155
CER.D19.1.22.0.%mol,,0.6620207446371928,-0.4372054921392209
CER.D19.1.23.0.%mol,,0.2652475880581366,-1.114460059668361
CER.D19.1.24.0.%mol,,0.116677326842476,1.5697144511753482
CER.D19.1.24.1.%mol,,0.12170961193914301,-1.548450760707905
CER.D19.1.26.0.%mol,,0.005972289401565161,2.7529436189625396
CER.D20.1.22.0.%mol,,0.011322463115422995,2.5354938159810096
CER.D20.1.23.0.%mol,,0.007645011298537827,2.6707108276336045
CER.D20.1.24.0.%mol,,0.04571270799071643,1.9995807082849155
CER.D20.1.24.1.%mol,,0.23870139653279215,-1.1786743412004999
CER.M18.0.20.0.%mol,,0.0497142738101298,-1.9638880901788383
CER.M18.0.22.0.%mol,,0.8100541171284757,-0.24039555278669109
CER.M18.0.23.0.%mol,,0.35368126956494306,-0.9277394713723401
CER.M18.0.24.0.%mol,,0.7046845569705434,-0.3790715167619617
CER.M18.0.24.1.%mol,,0.07773481296519891,-1.765105919854777
CER.M18.1.18.0.%mol,,0.23717255567373483,-1.18252210609082
CER.M18.1.20.0.%mol,,0.13261627198547685,-1.5046236600893654
CER.M18.1.22.0.%mol,,0.6202019513142611,-0.4956596574973169
CER.M18.1.23.0.%mol,,0.7082316966533544,-0.3742980399879121
CER.M18.1.24.0.%mol,,0.8998133793075265,0.125916885692333
CER.M18.1.24.1.%mol,,0.13008695634924922,-1.5145302765774646
CER1P.D18.1.16.0.%mol,,0.16727261774244642,-1.3816420357476773
HEXCER.D16.1.18.0.%mol,,0.004459825559934304,2.8476650780084274
HEXCER.D16.1.20.0.%mol,,0.04331575994509516,2.022242590635302
HEXCER.D16.1.22.0.%mol,,0.027895104971070988,2.2007447886634535
HEXCER.D16.1.24.0.%mol,,1.0886910004514908e-06,4.893628953231556
HEXCER.D18.1.16.0.%mol,,2.8575613907509873e-06,4.697442423745085
HEXCER.D18.1.18.0.%mol,,0.09913393019287203,1.6500163299289003
HEXCER.D18.1.20.0.%mol,,0.001136494946461879,3.260201704059633
HEXCER.D18.1.22.0.%mol,,1.9490425344281472e-08,5.644865285464596
HEXCER.D18.1.24.0.%mol,,4.761984386796134e-05,4.078074490659451
HEXCER.D18.1.24.1.%mol,,5.172376666539101e-05,4.058609867684562
HEXCER.D18.2.18.0.%mol,,0.7504959984819751,0.31803959078599037
HEXCER.D18.2.20.0.%mol,,0.0002829316839071017,3.6384260376180237
HEXCER.D18.2.22.0.%mol,,2.1625161111865537e-06,4.7548496681261945
HEXCER.D18.2.24.0.%mol,,0.0001650004703018546,3.7762068234893102
HEX2CER.D16.1.16.0.%mol,,0.02864811426519471,-2.190256447769933
HEX2CER.D16.1.24.1.%mol,,0.8794705651359607,0.1516644033968118
HEX2CER.D18.1.16.0.%mol,,0.10988896237522705,-1.5995723433646618
HEX2CER.D18.1.20.0.%mol,,0.0001429884251871216,3.8120573520517946
HEX2CER.D18.1.22.0.%mol,,0.00010063660481225777,3.898774867624764
HEX2CER.D18.1.24.0.%mol,,0.009793538611677852,2.5861042141462898
HEX2CER.D18.1.24.1.%mol,,0.11381665346962959,1.5821252865283795
HEX2CER.D18.2.16.0.%mol,,0.4342275921774802,-0.782172842608865
HEX2CER.D18.2.24.1.%mol,,0.09011189813883079,1.6958236576924324
HEX3CER.D18.1.16.0.%mol,,0.35153356077592757,-0.9318880941407554
HEX3CER.D18.1.18.0.%mol,,0.5367847045579034,-0.6178144567603626
HEX3CER.D18.1.20.0.%mol,,0.0844073814138227,-1.7267293837837119
HEX3CER.D18.1.22.0.%mol,,0.7599213684760255,-0.3056357418440481
HEX3CER.D18.1.24.0.%mol,,0.08078796379993726,1.7472267515331228
HEX3CER.D18.1.24.1.%mol,,0.21621835991876162,1.2371305496109766
GM3.D18.1.16.0.%mol,,0.7231168847989238,0.35435793867677295
GM3.D18.1.18.0.%mol,,0.4214223291064356,-0.8041609123637516
GM3.D18.1.20.0.%mol,,5.313920654991153e-06,-4.567337562484854
GM3.D18.1.22.0.%mol,,0.003980258165937246,-2.883867588480766
GM3.D18.1.24.0.%mol,,0.2779197799262705,-1.0853698148406028
GM3.D18.1.24.1.%mol,,1.6384957361495392e-05,-4.32227593109917
GM1.D18.1.16.0.%mol,,0.888773672100819,-0.13987818059613522
SULFATIDE..D18.1..16.0.OH..%mol,,0.8181529568756061,0.22995871193153242
SULFATIDE..D18.1..16.0.%mol,,0.3422209086953064,0.9500657466533671
SULFATIDE..D18.1..24.0.OH..%mol,,0.7342642717274871,0.33951718416310483
SULFATIDE..D18.1..24.0.%mol,,0.020623658441589567,2.317083150380715
SULFATIDE..D18.1..24.1.OH..%mol,,0.5065023613999864,-0.6644418336239795
SULFATIDE..D18.1..24.1.%mol,,0.0008285215886524318,3.349394332677253
SM.34.3.%mol,,0.0004608954559478822,-3.5097129310614257
SM.35.2...B.%mol,,0.006181539554522863,-2.7415963502176823
SM.37.1.%mol,,0.0002559031143507003,3.664422222425595
SM.37.2.%mol,,0.007396584242867671,2.681831665648578
SM.38.3...A.%mol,,0.003649880368730162,2.911191499200541
SM.38.3...B.%mol,,0.0016780269113822093,-3.1472846784498176
SM.40.3...A.%mol,,0.2061612920819875,1.2646998702516912
SM.40.3...B.%mol,,0.00016024346147570462,-3.7835556279394957
SM.41.0.%mol,,4.60556096534164e-20,9.295055553774858
SM.41.1...A.%mol,,3.739333087864483e-07,5.10293498724939
SM.43.1.%mol,,1.1724506771228831e-08,5.73340502003298
SM.43.2...B.%mol,,0.0018497447750285823,3.118511265055541
SM.43.2...C.%mol,,1.5407490050605925e-12,7.126931029283008
SM.44.1.%mol,,6.644018208662631e-10,6.211904741293548
SM.44.2.%mol,,0.000247637432211195,3.6728882374047673
SM.44.3.%mol,,0.19842201505714616,1.2865885526581118
SM.D16.1.19.0.%mol,,0.6932988580102584,0.3944527450421648
SM.D16.1.23.0..SM.D17.1.22.0.%mol,,2.5215018090980728e-05,4.225116819812484
SM.D16.1.24.1.%mol,,0.012537849035725806,2.499430106791967
SM.D17.1.14.0.%mol,,0.02471089451227728,2.247994365635776
SM.D17.1.16.0.%mol,,0.02161559738537628,2.2992881045665863
SM.D17.1.24.1.%mol,,0.012972389311950609,2.4872862785270007
SM.D18.0.14.0.%mol,,0.0017229036076938883,3.1395123525673436
SM.D18.0.16.0.%mol,,8.821427864871992e-05,3.930866770153955
SM.D18.0.22.0.%mol,,3.5230355262299953e-14,7.646500812825626
SM.D18.1.14.0..SM.D16.1.16.0.%mol,,0.0006305685201692165,3.424832146336632
SM.D18.1.16.0.%mol,,0.10051699201421585,1.6432923517454223
SM.D18.1.17.0..SM.D17.1.18.0.%mol,,3.808521912877613e-05,4.13027399639382
SM.D18.1.18.0..SM.D16.1.20.0.%mol,,0.00014497334814162158,3.8086184311655114
SM.D18.1.20.0..SM.D16.1.22.0.%mol,,0.0003704188141312437,3.567855739978467
SM.D18.1.22.0..SM.D16.1.24.0.%mol,,2.8744341334512947e-08,5.576324007433695
SM.D18.1.23.0..SM.D17.1.24.0.%mol,,2.200126844248776e-15,8.008530212761196
SM.D18.1.24.0.%mol,,8.421644141241117e-16,8.130510829378673
SM.D18.1.24.1.%mol,,8.44756931998098e-07,4.944037966253088
SM.D18.2.14.0.%mol,,5.094628948505603e-05,4.062182126223848
SM.D18.2.16.0.%mol,,1.7619167550345527e-08,5.662548990197784
SM.D18.2.17.0.%mol,,0.16471485060838012,1.390017982750298
SM.D18.2.18.0.%mol,,0.11497515581272513,1.577069941344004
SM.D18.2.18.1.%mol,,0.002046416926286674,-3.088431554661253
SM.D18.2.20.0.%mol,,0.015732790058896596,2.417611313483097
SM.D18.2.22.0.%mol,,0.0028704952669972666,2.9858433632184718
SM.D18.2.23.0.%mol,,2.7320276416841497e-10,6.353390217708747
SM.D18.2.24.0.%mol,,4.1453024174087036e-07,5.083087302736683
SM.D19.1.24.1.%mol,,0.06303872958594625,1.8602004416356603
PA.34.1.%mol,,0.311166432743358,1.0130950250611959
PA.36.1.%mol,,0.16377364637863567,-1.3931248197574089
PA.36.2.%mol,,0.6437820952924087,0.4625041466988519
PA.36.3.%mol,,0.09604520697024166,-1.6653077402536882
PA.36.4.%mol,,9.662592848908021e-05,3.908706035129116
PA.40.6.%mol,,0.2169624266555253,1.2351279607728307
PC.14.0_16.0.%mol,,0.3858204609926089,0.8674569832685392
PC.14.0_20.4.%mol,,0.05454623323561812,1.9238708952580081
PC.15.MHDA_18.1.%mol,,0.0006476502658511517,-3.417510023969366
PC.15.MHDA_18.2.%mol,,4.459655426340312e-05,-4.0934604274776945
PC.15.MHDA_20.4.%mol,,0.06316428054584566,-1.8593139894892825
PC.15.0_20.3.%mol,,0.13698082224493285,-1.4878679348699304
PC.15.0_20.4.%mol,,0.11171035000487593,1.591421420653062
PC.16.0_16.0.%mol,,0.5791172521915575,0.5547868296991559
PC.16.0_18.0.%mol,,0.0165248400413626,-2.3996169372784393
PC.16.0_18.1.%mol,,0.43114220347864507,0.7874359149956901
PC.16.0_18.2.%mol,,0.004892400702180643,2.8179219865237037
PC.16.0_18.3...A.%mol,,0.08202948081614912,-1.7401133540660023
PC.16.0_20.3...A.%mol,,0.0003361385488774702,-3.59343035857946
PC.16.0_20.4.%mol,,2.6523567342989478e-06,4.712853960812835
PC.16.1_18.2.%mol,,0.0037733102243097255,-2.900729541358512
PC.16.1_20.4.%mol,,0.6303137678083597,0.4813769817739596
PC.17.0_18.1.%mol,,0.0020607562756969552,-3.0863437408144283
PC.17.0_18.2.%mol,,0.0001971323789407149,-3.731237813395361
PC.17.0_20.4.%mol,,0.5471878603488263,-0.6021062825627691
PC.17.1_18.2.%mol,,3.222600369261682e-11,-6.682534723169907
PC.18.0_18.1.%mol,,0.8164903807178957,-0.23209916559038266
PC.18.0_18.2.%mol,,0.36406166245273,-0.907909017116444
PC.18.0_20.3.%mol,,0.09804567296511357,1.6553599434794957
PC.18.0_20.4.%mol,,0.007639121201245342,2.670970719856799
PC.18.0_22.4.%mol,,0.10919002702090334,-1.602728536610216
PC.18.0_22.5...N3..PC.20.1_20.4.%mol,,0.9122917696319935,0.11016554043947026
PC.18.0_22.5...N6.%mol,,0.08241668486919841,-1.7379127165581196
PC.18.1_18.1.%mol,,0.028467879682995623,-2.1927450203008165
PC.18.1_18.2.%mol,,0.00259867304805253,-3.0163070346525647
PC.18.1_20.3.%mol,,0.132393193343856,-1.5054914735930052
PC.18.1_22.6...B.%mol,,3.993648243763315e-12,-6.990475096071945
